date,dcoilwtico
2021-05-07,101.06
2021-05-08,100.52
2021-05-09,100.32
2021-05-12,100.89
2021-05-13,102.01
2021-05-14,102.63
2021-05-15,101.74
2021-05-16,102.31
2021-05-19,102.95
2021-05-20,102.8
2021-05-21,104.31
2021-05-22,104.03
2021-05-23,105.01
2021-05-26,
2021-05-27,104.78
2021-05-28,103.37
2021-05-29,104.26
2021-05-30,103.4
2021-06-02,103.07
2021-06-03,103.34
2021-06-04,103.27
2021-06-05,103.17
2021-06-06,103.32
2021-06-09,105.09
2021-06-10,105.02
2021-06-11,105.04
2021-06-12,107.2
2021-06-13,107.49
2021-06-16,107.52
2021-06-17,106.95
2021-06-18,106.64
2021-06-19,107.08
2021-06-20,107.95
2021-06-23,106.83
2021-06-24,106.64
2021-06-25,107.04
2021-06-26,106.49
2021-06-27,106.46
2021-06-30,106.07
2021-07-01,106.06
2021-07-02,105.18
2021-07-03,104.76
2021-07-04,
2021-07-07,104.19
2021-07-08,104.06
2021-07-09,102.93
2021-07-10,103.61
2021-07-11,101.48
2021-07-14,101.73
2021-07-15,100.56
2021-07-16,101.88
2021-07-17,103.84
2021-07-18,103.83
2021-07-21,105.34
2021-07-22,104.59
2021-07-23,103.81
2021-07-24,102.76
2021-07-25,105.23
2021-07-28,105.68
2021-07-29,104.91
2021-07-30,104.29
2021-07-31,98.23
2021-08-01,97.86
2021-08-04,98.26
2021-08-05,97.34
2021-08-06,96.93
2021-08-07,97.34
2021-08-08,97.61
2021-08-11,98.09
2021-08-12,97.36
2021-08-13,97.57
2021-08-14,95.54
2021-08-15,97.3
2021-08-18,96.44
2021-08-19,94.35
2021-08-20,96.4
2021-08-21,93.97
2021-08-22,93.61
2021-08-25,95.39
2021-08-26,95.78
2021-08-27,95.82
2021-08-28,96.44
2021-08-29,97.86
2021-09-01,
2021-09-02,92.92
2021-09-03,95.5
2021-09-04,94.51
2021-09-05,93.32
2021-09-08,92.64
2021-09-09,92.73
2021-09-10,91.71
2021-09-11,92.89
2021-09-12,92.18
2021-09-15,92.86
2021-09-16,94.91
2021-09-17,94.33
2021-09-18,93.07
2021-09-19,92.43
2021-09-22,91.46
2021-09-23,91.55
2021-09-24,93.6
2021-09-25,93.59
2021-09-26,95.55
2021-09-29,94.53
2021-09-30,91.17
2021-10-01,90.74
2021-10-02,91.02
2021-10-03,89.76
2021-10-06,90.33
2021-10-07,88.89
2021-10-08,87.29
2021-10-09,85.76
2021-10-10,85.87
2021-10-13,85.73
2021-10-14,81.72
2021-10-15,81.82
2021-10-16,82.33
2021-10-17,82.8
2021-10-20,82.76
2021-10-21,83.25
2021-10-22,80.52
2021-10-23,82.81
2021-10-24,81.27
2021-10-27,81.26
2021-10-28,81.36
2021-10-29,82.25
2021-10-30,81.06
2021-10-31,80.53
2021-11-03,78.77
2021-11-04,77.15
2021-11-05,78.71
2021-11-06,77.87
2021-11-07,78.71
2021-11-10,77.43
2021-11-11,77.85
2021-11-12,77.16
2021-11-13,74.13
2021-11-14,75.91
2021-11-17,75.64
2021-11-18,74.55
2021-11-19,74.55
2021-11-20,75.63
2021-11-21,76.52
2021-11-24,75.74
2021-11-25,74.04
2021-11-26,73.7
2021-11-27,
2021-11-28,65.94
2021-12-01,68.98
2021-12-02,66.99
2021-12-03,67.3
2021-12-04,66.73
2021-12-05,65.89
2021-12-08,63.13
2021-12-09,63.74
2021-12-10,60.99
2021-12-11,60.01
2021-12-12,57.81
2021-12-15,55.96
2021-12-16,55.97
2021-12-17,56.43
2021-12-18,54.18
2021-12-19,56.91
2021-12-22,55.25
2021-12-23,56.78
2021-12-24,55.7
2021-12-25,
2021-12-26,54.59
2021-12-29,53.46
2021-12-30,54.14
2021-12-31,53.45
2022-01-01,
2022-01-02,52.72
2022-01-05,50.05
2022-01-06,47.98
2022-01-07,48.69
2022-01-08,48.8
2022-01-09,48.35
2022-01-12,46.06
2022-01-13,45.92
2022-01-14,48.49
2022-01-15,46.37
2022-01-16,48.49
2022-01-19,
2022-01-20,46.79
2022-01-21,47.85
2022-01-22,45.93
2022-01-23,45.26
2022-01-26,44.8
2022-01-27,45.84
2022-01-28,44.08
2022-01-29,44.12
2022-01-30,47.79
2022-02-02,49.25
2022-02-03,53.04
2022-02-04,48.45
2022-02-05,50.48
2022-02-06,51.66
2022-02-09,52.99
2022-02-10,50.06
2022-02-11,48.8
2022-02-12,51.17
2022-02-13,52.66
2022-02-16,
2022-02-17,53.56
2022-02-18,52.13
2022-02-19,51.12
2022-02-20,49.95
2022-02-23,49.56
2022-02-24,48.48
2022-02-25,50.25
2022-02-26,47.65
2022-02-27,49.84
2022-03-02,49.59
2022-03-03,50.43
2022-03-04,51.53
2022-03-05,50.76
2022-03-06,49.61
2022-03-09,49.95
2022-03-10,48.42
2022-03-11,48.06
2022-03-12,47.12
2022-03-13,44.88
2022-03-16,43.93
2022-03-17,43.39
2022-03-18,44.63
2022-03-19,44.02
2022-03-20,46
2022-03-23,47.4
2022-03-24,47.03
2022-03-25,48.75
2022-03-26,51.41
2022-03-27,48.83
2022-03-30,48.66
2022-03-31,47.72
2022-04-01,50.12
2022-04-02,49.13
2022-04-03,
2022-04-06,52.08
2022-04-07,53.95
2022-04-08,50.44
2022-04-09,50.79
2022-04-10,51.63
2022-04-13,51.95
2022-04-14,53.3
2022-04-15,56.25
2022-04-16,56.69
2022-04-17,55.71
2022-04-20,56.37
2022-04-21,55.58
2022-04-22,56.17
2022-04-23,56.59
2022-04-24,55.98
2022-04-27,55.56
2022-04-28,57.05
2022-04-29,58.55
2022-04-30,59.62
2022-05-01,59.1
2022-05-04,58.92
2022-05-05,60.38
2022-05-06,60.93
2022-05-07,58.99
2022-05-08,59.41
2022-05-11,59.23
2022-05-12,60.72
2022-05-13,60.5
2022-05-14,59.89
2022-05-15,59.73
2022-05-18,59.44
2022-05-19,57.3
2022-05-20,58.96
2022-05-21,60.18
2022-05-22,58.88
2022-05-25,
2022-05-26,57.29
2022-05-27,57.51
2022-05-28,57.69
2022-05-29,60.25
2022-06-01,60.24
2022-06-02,61.3
2022-06-03,59.67
2022-06-04,58
2022-06-05,59.11
2022-06-08,58.15
2022-06-09,60.15
2022-06-10,61.36
2022-06-11,60.74
2022-06-12,59.96
2022-06-15,59.53
2022-06-16,60.01
2022-06-17,59.89
2022-06-18,60.41
2022-06-19,59.62
2022-06-22,60.01
2022-06-23,61.05
2022-06-24,60.01
2022-06-25,59.59
2022-06-26,59.41
2022-06-29,58.34
2022-06-30,59.48
2022-07-01,56.94
2022-07-02,56.93
2022-07-03,
2022-07-06,52.48
2022-07-07,52.33
2022-07-08,51.61
2022-07-09,52.76
2022-07-10,52.74
2022-07-13,52.19
2022-07-14,53.05
2022-07-15,51.4
2022-07-16,50.9
2022-07-17,50.88
2022-07-20,50.11
2022-07-21,50.59
2022-07-22,49.27
2022-07-23,48.11
2022-07-24,47.98
2022-07-27,47.17
2022-07-28,47.97
2022-07-29,48.77
2022-07-30,48.53
2022-07-31,47.11
2022-08-03,45.25
2022-08-04,45.75
2022-08-05,45.13
2022-08-06,44.69
2022-08-07,43.87
2022-08-10,44.94
2022-08-11,43.11
2022-08-12,43.22
2022-08-13,42.27
2022-08-14,42.45
2022-08-17,41.93
2022-08-18,42.58
2022-08-19,40.75
2022-08-20,41
2022-08-21,40.45
2022-08-24,38.22
2022-08-25,39.15
2022-08-26,38.5
2022-08-27,42.47
2022-08-28,45.29
2022-08-31,49.2
2022-09-01,45.38
2022-09-02,46.3
2022-09-03,46.75
2022-09-04,46.02
2022-09-07,
2022-09-08,45.92
2022-09-09,44.13
2022-09-10,45.85
2022-09-11,44.75
2022-09-14,44.07
2022-09-15,44.58
2022-09-16,47.12
2022-09-17,46.93
2022-09-18,44.71
2022-09-21,46.67
2022-09-22,46.17
2022-09-23,44.53
2022-09-24,44.94
2022-09-25,45.55
2022-09-28,44.4
2022-09-29,45.24
2022-09-30,45.06
2022-10-01,44.75
2022-10-02,45.54
2022-10-05,46.28
2022-10-06,48.53
2022-10-07,47.86
2022-10-08,49.46
2022-10-09,49.67
2022-10-12,47.09
2022-10-13,46.7
2022-10-14,46.63
2022-10-15,46.38
2022-10-16,47.3
2022-10-19,45.91
2022-10-20,45.84
2022-10-21,45.22
2022-10-22,44.9
2022-10-23,43.91
2022-10-26,43.19
2022-10-27,43.21
2022-10-28,45.93
2022-10-29,46.02
2022-10-30,46.6
2022-11-02,46.12
2022-11-03,47.88
2022-11-04,46.32
2022-11-05,45.27
2022-11-06,44.32
2022-11-09,43.87
2022-11-10,44.23
2022-11-11,42.95
2022-11-12,41.74
2022-11-13,40.69
2022-11-16,41.68
2022-11-17,40.73
2022-11-18,40.75
2022-11-19,40.55
2022-11-20,39.39
2022-11-23,39.27
2022-11-24,40.89
2022-11-25,41.22
2022-11-26,
2022-11-27,40.57
2022-11-30,40.43
2022-12-01,40.58
2022-12-02,39.93
2022-12-03,41.08
2022-12-04,40
2022-12-07,37.64
2022-12-08,37.46
2022-12-09,37.16
2022-12-10,36.76
2022-12-11,35.65
2022-12-14,36.31
2022-12-15,37.32
2022-12-16,35.55
2022-12-17,34.98
2022-12-18,34.72
2022-12-21,34.55
2022-12-22,36.12
2022-12-23,36.76
2022-12-24,37.62
2022-12-25,
2022-12-28,36.36
2022-12-29,37.88
2022-12-30,36.59
2022-12-31,37.13
2023-01-01,
2023-01-04,36.81
2023-01-05,35.97
2023-01-06,33.97
2023-01-07,33.29
2023-01-08,33.2
2023-01-11,31.42
2023-01-12,30.42
2023-01-13,30.42
2023-01-14,31.22
2023-01-15,29.45
2023-01-18,
2023-01-19,28.47
2023-01-20,26.68
2023-01-21,29.55
2023-01-22,32.07
2023-01-25,30.31
2023-01-26,29.54
2023-01-27,32.32
2023-01-28,33.21
2023-01-29,33.66
2023-02-01,31.62
2023-02-02,29.9
2023-02-03,32.29
2023-02-04,31.63
2023-02-05,30.86
2023-02-08,29.71
2023-02-09,27.96
2023-02-10,27.54
2023-02-11,26.19
2023-02-12,29.32
2023-02-15,
2023-02-16,29.05
2023-02-17,30.68
2023-02-18,30.77
2023-02-19,29.59
2023-02-22,31.37
2023-02-23,31.84
2023-02-24,30.35
2023-02-25,31.4
2023-02-26,31.65
2023-02-28,32.74
2023-03-01,34.39
2023-03-02,34.57
2023-03-03,34.56
2023-03-04,35.91
2023-03-07,37.9
2023-03-08,36.67
2023-03-09,37.62
2023-03-10,37.77
2023-03-11,38.51
2023-03-14,37.2
2023-03-15,36.32
2023-03-16,38.43
2023-03-17,40.17
2023-03-18,39.47
2023-03-21,39.91
2023-03-22,41.45
2023-03-23,38.28
2023-03-24,38.14
2023-03-25,
2023-03-28,37.99
2023-03-29,36.91
2023-03-30,36.91
2023-03-31,36.94
2023-04-01,35.36
2023-04-04,34.3
2023-04-05,34.52
2023-04-06,37.74
2023-04-07,37.3
2023-04-08,39.74
2023-04-11,40.46
2023-04-12,42.12
2023-04-13,41.7
2023-04-14,41.45
2023-04-15,40.4
2023-04-18,39.74
2023-04-19,40.88
2023-04-20,42.72
2023-04-21,43.18
2023-04-22,42.76
2023-04-25,41.67
2023-04-26,42.52
2023-04-27,45.29
2023-04-28,46.03
2023-04-29,45.98
2023-05-02,44.75
2023-05-03,43.65
2023-05-04,43.77
2023-05-05,44.33
2023-05-06,44.58
2023-05-09,43.45
2023-05-10,44.68
2023-05-11,46.21
2023-05-12,46.64
2023-05-13,46.22
2023-05-16,47.72
2023-05-17,48.29
2023-05-18,48.12
2023-05-19,48.16
2023-05-20,47.67
2023-05-23,48.12
2023-05-24,48.04
2023-05-25,49.1
2023-05-26,49
2023-05-27,49.36
2023-05-30,
2023-05-31,49.1
2023-06-01,49.07
2023-06-02,49.14
2023-06-03,48.69
2023-06-06,49.71
2023-06-07,50.37
2023-06-08,51.23
2023-06-09,50.52
2023-06-10,49.09
2023-06-13,48.89
2023-06-14,48.49
2023-06-15,47.92
2023-06-16,46.14
2023-06-17,48
2023-06-20,49.4
2023-06-21,48.95
2023-06-22,49.16
2023-06-23,49.34
2023-06-24,46.7
2023-06-27,45.8
2023-06-28,47.93
2023-06-29,49.85
2023-06-30,48.27
2023-07-01,49.02
2023-07-04,
2023-07-05,46.73
2023-07-06,47.37
2023-07-07,45.22
2023-07-08,45.37
2023-07-11,44.73
2023-07-12,46.82
2023-07-13,44.87
2023-07-14,45.64
2023-07-15,45.93
2023-07-18,45.23
2023-07-19,44.64
2023-07-20,44.96
2023-07-21,43.96
2023-07-22,43.41
2023-07-25,42.4
2023-07-26,42.16
2023-07-27,41.9
2023-07-28,41.13
2023-07-29,41.54
2023-08-01,40.05
2023-08-02,39.5
2023-08-03,40.8
2023-08-04,41.92
2023-08-05,41.83
2023-08-08,43.06
2023-08-09,42.78
2023-08-10,41.75
2023-08-11,43.51
2023-08-12,44.47
2023-08-15,45.72
2023-08-16,46.57
2023-08-17,46.81
2023-08-18,48.2
2023-08-19,48.48
2023-08-22,46.8
2023-08-23,47.54
2023-08-24,46.29
2023-08-25,46.97
2023-08-26,47.64
2023-08-29,46.97
2023-08-30,46.32
2023-08-31,44.68
2023-09-01,43.17
2023-09-02,44.39
2023-09-05,
2023-09-06,44.85
2023-09-07,45.47
2023-09-08,47.63
2023-09-09,45.88
2023-09-12,46.28
2023-09-13,44.91
2023-09-14,43.62
2023-09-15,43.85
2023-09-16,43.04
2023-09-19,43.34
2023-09-20,43.85
2023-09-21,45.33
2023-09-22,46.1
2023-09-23,44.36
2023-09-26,45.6
2023-09-27,44.65
2023-09-28,47.07
2023-09-29,47.72
2023-09-30,47.72
2023-10-03,48.8
2023-10-04,48.67
2023-10-05,49.75
2023-10-06,50.44
2023-10-07,49.76
2023-10-10,49.76
2023-10-11,50.72
2023-10-12,50.14
2023-10-13,50.47
2023-10-14,50.35
2023-10-17,49.97
2023-10-18,50.3
2023-10-19,51.59
2023-10-20,50.31
2023-10-21,50.61
2023-10-24,50.18
2023-10-25,49.45
2023-10-26,48.75
2023-10-27,49.71
2023-10-28,48.72
2023-10-31,46.83
2023-11-01,46.66
2023-11-02,45.32
2023-11-03,44.66
2023-11-04,44.07
2023-11-07,44.88
2023-11-08,44.96
2023-11-09,45.2
2023-11-10,44.62
2023-11-11,43.39
2023-11-14,43.29
2023-11-15,45.86
2023-11-16,45.56
2023-11-17,45.37
2023-11-18,45.69
2023-11-21,47.48
2023-11-22,48.07
2023-11-23,46.72
2023-11-24,
2023-11-25,46.72
2023-11-28,45.66
2023-11-29,45.29
2023-11-30,49.41
2023-12-01,51.08
2023-12-02,51.7
2023-12-05,51.72
2023-12-06,50.95
2023-12-07,49.85
2023-12-08,50.84
2023-12-09,51.51
2023-12-12,52.74
2023-12-13,52.99
2023-12-14,51.01
2023-12-15,50.9
2023-12-16,51.93
2023-12-19,52.13
2023-12-20,52.22
2023-12-21,51.44
2023-12-22,51.98
2023-12-23,52.01
2023-12-26,
2023-12-27,52.82
2023-12-28,54.01
2023-12-29,53.8
2023-12-30,53.75
2024-01-02,
2024-01-03,52.36
2024-01-04,53.26
2024-01-05,53.77
2024-01-06,53.98
2024-01-09,51.95
2024-01-10,50.82
2024-01-11,52.19
2024-01-12,53.01
2024-01-13,52.36
